Provider,Provider Country,SKU,Developer,Title,Version,Product Type Identifier,Units,Developer Proceeds,Begin Date,End Date,Customer Currency,Country Code,Currency of Proceeds,Apple Identifier,Customer Price,Promo Code,Parent Identifier,Subscription,Period
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,21,0,01/05/2013,01/05/2013,EUR,IT,EUR,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,1T,5,0,01/05/2013,01/05/2013,EUR,GR,EUR,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,1T,12,0,01/05/2013,01/05/2013,USD,NG,USD,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,10,0,01/05/2013,01/05/2013,TRY,TR,TRY,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,1T,22,0,01/05/2013,01/05/2013,EUR,FR,EUR,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,1T,1,0,01/05/2013,01/05/2013,USD,GH,USD,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,1T,1,0,01/05/2013,01/05/2013,USD,BN,USD,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,1,0,01/05/2013,01/05/2013,USD,AO,USD,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,1T,2,0,01/05/2013,01/05/2013,USD,JM,USD,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,1T,3,0,01/05/2013,01/05/2013,USD,AR,USD,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,1,0,01/05/2013,01/05/2013,USD,HN,USD,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,12,0,01/05/2013,01/05/2013,MXN,MX,MXN,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,16,0,01/05/2013,01/05/2013,USD,BR,USD,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,7T,3,0,01/05/2013,01/05/2013,USD,TT,USD,400442503,0, , , , 
APPLE,US,molipad001,Associated Northcliffe Digital Limited,MailOnline for iPad,2,1T,2,0,01/05/2013,01/05/2013,USD,SV,USD,400442503,0, , , , 
APPLE,US,Molmini001,Associated Northcliffe Digital Limited,MailOnline Mini,1,1T,22,0,01/05/2013,01/05/2013,USD,US,USD,587463123,0, , , , 
APPLE,US,co.uk.mailonsunday.monthly, ,Mail On Sunday Subscription_200_30, ,IAY,40,3.04,01/05/2013,01/05/2013,GBP,GB,GBP,498418935,4.99, ,4794K88545,Renewal,1 Month
APPLE,US,co.uk.mailonsunday.monthly, ,Mail On Sunday Subscription_200_30, ,IAY,1,9.09,01/05/2013,01/05/2013,TRY,TR,TRY,498418935,12.99, ,4794K88545,Renewal,1 Month
APPLE,US,com.metro.phoneedition.freesubscription, ,Metro Phone Edition Subscription, ,IAC,1,0,01/05/2013,01/05/2013,EUR,ES,EUR,542378621,0, ,com.metro.phone001, , 
APPLE,US,com.metro.tablet.freesubscription, ,Metro Subscription, ,IAC,3,0,01/05/2013,01/05/2013,EUR,IT,EUR,471269615,0, ,com.metro.tablet001, , 
APPLE,US,53434538456,Associated Northcliffe Digital Limited,OnTrees,1,1,1,0,01/05/2013,01/05/2013,INR,IN,INR,576797859,0, , , , 
APPLE,US,BAM001,Associated Northcliffe Digital Limited,Bamboozle! - The Classic Teletext Quiz Game,2.6,1F,1,0,01/05/2013,01/05/2013,AUD,AU,AUD,384407005,0, , , , 
APPLE,US,34234234234,Associated Northcliffe Digital Limited,TIWFashion,1.01,1,1,0,01/05/2013,01/05/2013,MXN,MX,MXN,573152478,0, , , , 
APPLE,US,34234234234,Associated Northcliffe Digital Limited,TIWFashion,1.01,1,4,0,01/05/2013,01/05/2013,USD,US,USD,573152478,0, , , , 
APPLE,US,co.uk.mailonsunday.monthly, ,Mail On Sunday Subscription_200_30, ,IAY,1,4.9,01/05/2013,01/05/2013,CAD,CA,CAD,498418935,6.99, ,4794K88545,Renewal,1 Month
APPLE,US,BAM001,Associated Northcliffe Digital Limited,Bamboozle! - The Classic Teletext Quiz Game,2.6,1F,1,0,01/05/2013,01/05/2013,USD,PH,USD,384407005,0, , , , 
APPLE,US,4794K88545,Associated Northcliffe Digital Limited,Daily Mail Newspaper,1.06,1T,5,0,01/05/2013,01/05/2013,EUR,NL,EUR,451510290,0, , , , 
APPLE,US,4794K88545,Associated Northcliffe Digital Limited,Daily Mail Newspaper,1.06,1T,3,0,01/05/2013,01/05/2013,HKD,HK,HKD,451510290,0, , , , 
APPLE,US,4794K88545,Associated Northcliffe Digital Limited,Daily Mail Newspaper,1.06,7T,1,0,01/05/2013,01/05/2013,NOK,NO,NOK,451510290,0, , , , 
APPLE,US,com.metro.phone001,Associated Northcliffe Digital Limited,Metro Phone Edition,1.2,1,1,0,01/05/2013,01/05/2013,ZAR,ZA,ZAR,465059515,0, , , , 
APPLE,US,com.metro.phone001,Associated Northcliffe Digital Limited,Metro Phone Edition,1.2,1,1,0,01/05/2013,01/05/2013,TWD,TW,TWD,465059515,0, , , , 
APPLE,US,com.metro.phone001,Associated Northcliffe Digital Limited,Metro Phone Edition,1.2,1,3,0,01/05/2013,01/05/2013,CNY,CN,CNY,465059515,0, , , , 
APPLE,US,com.mos.crossword,Associated Northcliffe Digital Limited,Mail on Sunday Crossword,1.2,1F,8,0,01/05/2013,01/05/2013,EUR,IE,EUR,454136366,0, , , , 
APPLE,US,com.mos.crossword,Associated Northcliffe Digital Limited,Mail on Sunday Crossword,1.2,1F,7,0,01/05/2013,01/05/2013,USD,US,USD,454136366,0, , , , 
APPLE,US,com.metro.tablet001,Associated Northcliffe Digital Limited,Metro Tablet Edition,1.3.0,1T,1,0,01/05/2013,01/05/2013,SGD,SG,SGD,463429891,0, , , , 
APPLE,US,com.metro.tablet001,Associated Northcliffe Digital Limited,Metro Tablet Edition,1.3.0,1T,1,0,01/05/2013,01/05/2013,EUR,FR,EUR,463429891,0, , , , 
